station_id,sensor_id,"latitude (degree)","longitude (degree)",date_time,"http://mmisw.org/ont/cf/parameter/air_temperature (degree_Celsius)"
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T04:53:00Z,-6.110000000000014
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T05:53:00Z,-7.220000000000027
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T06:53:00Z,-7.220000000000027
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T07:53:00Z,-8.329999999999984
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T07:53:00Z,-8.329999999999984
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T08:53:00Z,-11.110000000000014
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T09:53:00Z,-11.110000000000014
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T10:53:00Z,-11.670000000000016
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T11:53:00Z,-12.779999999999973
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T12:53:00Z,-14.439999999999998
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T13:53:00Z,-14.439999999999998
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T14:53:00Z,-15.0
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T14:53:00Z,-15.0
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T15:53:00Z,-14.439999999999998
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T16:53:00Z,-14.439999999999998
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T17:53:00Z,-15.560000000000002
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T18:53:00Z,-13.329999999999984
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T19:53:00Z,-12.779999999999973
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T20:53:00Z,-10.560000000000002
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T21:53:00Z,-9.439999999999998
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T22:53:00Z,-7.779999999999973
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-21T23:53:00Z,-7.779999999999973
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-22T00:53:00Z,-7.779999999999973
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-22T00:53:00Z,-7.779999999999973
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-22T01:53:00Z,-7.220000000000027
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-22T02:53:00Z,-7.220000000000027
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-22T03:53:00Z,-7.779999999999973
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-22T04:53:00Z,-8.889999999999986
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-22T05:53:00Z,-10.560000000000002
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-22T06:53:00Z,-12.220000000000027
urn:ioos:station:gov.noaa.nws:PAOM,urn:ioos:sensor:gov.noaa.nws:PAOM:air_temperature,64.5166666666667,-165.433333333333,2015-03-22T07:53:00Z,-12.779999999999973
